"Date Time","Date Time(RAW)","Traffic Total (volume)","Traffic Total (volume)(RAW)","Traffic Total (speed)","Traffic Total (speed)(RAW)","Traffic In (volume)","Traffic In (volume)(RAW)","Traffic In (speed)","Traffic In (speed)(RAW)","Traffic Out (volume)","Traffic Out (volume)(RAW)","Traffic Out (speed)","Traffic Out (speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"10/1/2025 2:00:00 PM - 3:00:00 PM","45931.3333333333","442,909 MByte","464423768173.7935","1,216 Mbit/s","152035305.5360","71,608 MByte","75086128076.3465","197 Mbit/s","24580443.9951","371,301 MByte","389337640097.4470","1,020 Mbit/s","127454861.5408","0 %","0.0000","85 %","0000008485"
"10/1/2025 3:00:00 PM - 4:00:00 PM","45931.3750000000","476,977 MByte","500146399215.1232","1,112 Mbit/s","138940747.7867","89,285 MByte","93621951073.1535","208 Mbit/s","26008192.6247","387,692 MByte","406524448141.9697","903 Mbit/s","112932555.1619","0 %","0.0000","100 %","0000009999"
"10/1/2025 4:00:00 PM - 5:00:00 PM","45931.4166666667","305,347 MByte","320179777573.3058","712 Mbit/s","88946486.3845","54,397 MByte","57039154889.2025","127 Mbit/s","15845574.1714","250,950 MByte","263140622684.1033","585 Mbit/s","73100912.2130","0 %","0.0000","100 %","0000009999"
"10/1/2025 5:00:00 PM - 6:00:00 PM","45931.4583333333","155,015 MByte","162544857835.2382","361 Mbit/s","45155363.2087","23,175 MByte","24300925828.0933","54 Mbit/s","6750857.2507","131,840 MByte","138243932007.1449","307 Mbit/s","38404505.9581","0 %","0.0000","100 %","0000009999"
"10/1/2025 6:00:00 PM - 7:00:00 PM","45931.5000000000","97,484 MByte","102219882163.6393","227 Mbit/s","28396778.1103","9,129 MByte","9572846883.3112","21 Mbit/s","2659345.7464","88,355 MByte","92647035280.3281","206 Mbit/s","25737432.3639","0 %","0.0000","100 %","0000009999"
"10/1/2025 7:00:00 PM - 8:00:00 PM","45931.5416666667","21,208 MByte","22238307848.5316","49 Mbit/s","6177805.3922","2,460 MByte","2579965831.4044","5.73 Mbit/s","716714.9108","18,748 MByte","19658342017.1272","44 Mbit/s","5461090.4815","0 %","0.0000","100 %","0000009999"
"10/1/2025 8:00:00 PM - 9:00:00 PM","45931.5833333333","997 MByte","1045806151.3964","2.32 Mbit/s","290525.1121","550 MByte","576306327.8999","1.28 Mbit/s","160097.9879","448 MByte","469499823.4965","1.04 Mbit/s","130427.1243","0 %","0.0000","100 %","0000009999"
"10/1/2025 9:00:00 PM - 10:00:00 PM","45931.6250000000","4,798 MByte","5030778094.2692","11 Mbit/s","1397550.9400","566 MByte","593382285.5130","1.32 Mbit/s","164841.6916","4,232 MByte","4437395808.7562","9.86 Mbit/s","1232709.2485","0 %","0.0000","100 %","0000009999"
"10/1/2025 10:00:00 PM - 11:00:00 PM","45931.6666666667","1,238 MByte","1297797368.6221","2.88 Mbit/s","360525.3070","493 MByte","516831365.2157","1.15 Mbit/s","143574.6374","745 MByte","780966003.4065","1.74 Mbit/s","216950.6696","0 %","0.0000","100 %","0000009999"
"10/1/2025 11:00:00 PM - 12:00:00 AM","45931.7083333333","802 MByte","841020033.3887","1.87 Mbit/s","233637.4437","477 MByte","500601342.1610","1.11 Mbit/s","139068.2900","325 MByte","340418691.2276","0.76 Mbit/s","94569.1537","0 %","0.0000","100 %","0000009999"
"10/2/2025 12:00:00 AM - 1:00:00 AM","45931.7500000000","1,115 MByte","1169544693.4930","2.60 Mbit/s","324896.9908","554 MByte","580391931.8335","1.29 Mbit/s","161231.6256","562 MByte","589152761.6595","1.31 Mbit/s","163665.3652","0 %","0.0000","100 %","0000009999"
"10/2/2025 1:00:00 AM - 2:00:00 AM","45931.7916666667","1,132 MByte","1187278758.5441","2.64 Mbit/s","329825.3082","519 MByte","543701703.2182","1.21 Mbit/s","151039.9984","614 MByte","643577055.3258","1.43 Mbit/s","178785.3098","0 %","0.0000","100 %","0000009999"
"10/2/2025 2:00:00 AM - 3:00:00 AM","45931.8333333333","1,813 MByte","1901516576.4046","4.23 Mbit/s","528240.1343","492 MByte","516147458.1599","1.15 Mbit/s","143385.4461","1,321 MByte","1385369118.2447","3.08 Mbit/s","384854.6882","0 %","0.0000","100 %","0000009999"
"10/2/2025 3:00:00 AM - 4:00:00 AM","45931.8750000000","831 MByte","871843984.5283","1.94 Mbit/s","242199.0678","467 MByte","489277344.7128","1.09 Mbit/s","135921.7003","365 MByte","382566639.8155","0.85 Mbit/s","106277.3675","0 %","0.0000","100 %","0000009999"
"10/2/2025 4:00:00 AM - 5:00:00 AM","45931.9166666667","813 MByte","852475025.8332","1.89 Mbit/s","236819.0110","466 MByte","488543883.9272","1.09 Mbit/s","135718.3213","347 MByte","363931141.9060","0.81 Mbit/s","101100.6898","0 %","0.0000","100 %","0000009999"
"10/2/2025 5:00:00 AM - 6:00:00 AM","45931.9583333333","902 MByte","945914985.5684","2.10 Mbit/s","262778.9807","456 MByte","477683609.2847","1.06 Mbit/s","132702.4245","447 MByte","468231376.2837","1.04 Mbit/s","130076.5562","0 %","0.0000","100 %","0000009999"
"10/2/2025 6:00:00 AM - 7:00:00 AM","45932.0000000000","11,185 MByte","11728415484.5454","26 Mbit/s","3258146.6016","711 MByte","745360512.1131","1.66 Mbit/s","207060.6914","10,474 MByte","10983054972.4323","24 Mbit/s","3051085.9101","0 %","0.0000","100 %","0000009999"
"10/2/2025 7:00:00 AM - 8:00:00 AM","45932.0416666667","24,366 MByte","25549337559.8545","57 Mbit/s","7097570.5289","4,013 MByte","4208138438.4153","9.35 Mbit/s","1169015.0201","20,353 MByte","21341199121.4391","47 Mbit/s","5928555.5087","0 %","0.0000","100 %","0000009999"
"10/2/2025 8:00:00 AM - 9:00:00 AM","45932.0833333333","204,782 MByte","214729976338.7012","477 Mbit/s","59651689.5264","24,149 MByte","25322065811.7042","56 Mbit/s","7034434.7525","180,633 MByte","189407910526.9970","421 Mbit/s","52617254.7738","0 %","0.0000","100 %","0000009999"
"10/2/2025 9:00:00 AM - 10:00:00 AM","45932.1250000000","526,515 MByte","552090806613.6017","1,227 Mbit/s","153370912.2717","77,661 MByte","81433719462.8788","181 Mbit/s","22622299.9805","448,854 MByte","470657087150.7229","1,046 Mbit/s","130748612.2912","0 %","0.0000","100 %","0000009999"
"10/2/2025 10:00:00 AM - 11:00:00 AM","45932.1666666667","486,415 MByte","510043345129.6739","1,134 Mbit/s","141689727.2926","95,441 MByte","100077352243.9211","222 Mbit/s","27801426.8454","390,974 MByte","409965992885.7528","911 Mbit/s","113888300.4472","0 %","0.0000","100 %","0000009999"
"10/2/2025 11:00:00 AM - 12:00:00 PM","45932.2083333333","431,879 MByte","452857658309.3271","1,006 Mbit/s","125804277.6646","83,247 MByte","87290785987.5375","194 Mbit/s","24249461.3405","348,632 MByte","365566872321.7896","812 Mbit/s","101554816.3241","0 %","0.0000","100 %","0000009999"
"10/2/2025 12:00:00 PM - 1:00:00 PM","45932.2500000000","318,496 MByte","333967214620.8698","742 Mbit/s","92776144.3619","51,684 MByte","54195041625.5627","120 Mbit/s","15055391.0247","266,812 MByte","279772172995.3071","622 Mbit/s","77720753.3372","0 %","0.0000","100 %","0000009999"
"10/2/2025 1:00:00 PM - 2:00:00 PM","45932.2916666667","410,744 MByte","430696501065.5423","957 Mbit/s","119648220.0038","76,766 MByte","80494686512.6570","179 Mbit/s","22361560.7212","333,978 MByte","350201814552.8852","778 Mbit/s","97286659.2826","0 %","0.0000","100 %","0000009999"
"10/2/2025 2:00:00 PM - 3:00:00 PM","45932.3333333333","401,582 MByte","421089146303.9538","936 Mbit/s","116978955.5529","77,150 MByte","80897898561.8956","180 Mbit/s","22473511.2820","324,432 MByte","340191247742.0582","756 Mbit/s","94505444.2709","0 %","0.0000","100 %","0000009999"
"10/2/2025 3:00:00 PM - 4:00:00 PM","45932.3750000000","369,513 MByte","387462655810.0060","861 Mbit/s","107637485.2932","90,002 MByte","94374383988.2687","210 Mbit/s","26217291.4377","279,511 MByte","293088271821.7372","651 Mbit/s","81420193.8555","0 %","0.0000","100 %","0000009999"
"10/2/2025 4:00:00 PM - 5:00:00 PM","45932.4166666667","261,295 MByte","273987560609.8930","609 Mbit/s","76113575.6697","67,304 MByte","70573487528.3839","157 Mbit/s","19605271.3901","193,991 MByte","203414073081.5091","452 Mbit/s","56508304.2796","0 %","0.0000","100 %","0000009999"
"10/2/2025 5:00:00 PM - 6:00:00 PM","45932.4583333333","204,856 MByte","214807199636.7004","477 Mbit/s","59673307.8230","76,243 MByte","79946084161.9008","178 Mbit/s","22208972.9651","128,614 MByte","134861115474.7996","300 Mbit/s","37464334.8579","0 %","0.0000","100 %","0000009999"
"10/2/2025 6:00:00 PM - 7:00:00 PM","45932.5000000000","72,851 MByte","76389669567.9312","170 Mbit/s","21220590.5255","16,024 MByte","16802275128.3792","37 Mbit/s","4667570.9217","56,827 MByte","59587394439.5520","132 Mbit/s","16553019.6038","0 %","0.0000","100 %","0000009999"
"10/2/2025 7:00:00 PM - 8:00:00 PM","45932.5416666667","10,689 MByte","11208099811.7080","25 Mbit/s","3113594.5784","1,930 MByte","2023582664.6387","4.50 Mbit/s","562148.4569","8,759 MByte","9184517147.0694","20 Mbit/s","2551446.1215","0 %","0.0000","100 %","0000009999"
"10/2/2025 8:00:00 PM - 9:00:00 PM","45932.5833333333","2,785 MByte","2920687709.1050","6.49 Mbit/s","811376.5176","597 MByte","626272915.3920","1.39 Mbit/s","173980.6469","2,188 MByte","2294414793.7130","5.10 Mbit/s","637395.8707","0 %","0.0000","100 %","0000009999"
"10/2/2025 9:00:00 PM - 10:00:00 PM","45932.6250000000","1,464 MByte","1535154161.3351","3.41 Mbit/s","426462.5116","505 MByte","529746953.2115","1.18 Mbit/s","147162.5599","959 MByte","1005407208.1236","2.23 Mbit/s","279299.9517","0 %","0.0000","100 %","0000009999"
"10/2/2025 10:00:00 PM - 11:00:00 PM","45932.6666666667","1,044 MByte","1095006144.5882","2.43 Mbit/s","304193.7230","466 MByte","488578118.6110","1.09 Mbit/s","135727.4547","578 MByte","606428025.9772","1.35 Mbit/s","168466.2683","0 %","0.0000","100 %","0000009999"
"10/2/2025 11:00:00 PM - 12:00:00 AM","45932.7083333333","922 MByte","966460807.7500","2.15 Mbit/s","268479.2341","467 MByte","489679140.0695","1.09 Mbit/s","136031.0521","455 MByte","476781667.6805","1.06 Mbit/s","132448.1820","0 %","0.0000","100 %","0000009999"
"10/3/2025 12:00:00 AM - 1:00:00 AM","45932.7500000000","1,348 MByte","1413000828.6936","3.14 Mbit/s","392529.6699","495 MByte","519096769.3651","1.15 Mbit/s","144204.3624","852 MByte","893904059.3285","1.99 Mbit/s","248325.3075","0 %","0.0000","100 %","0000009999"
"10/3/2025 1:00:00 AM - 2:00:00 AM","45932.7916666667","1,188 MByte","1245878451.4028","2.77 Mbit/s","346101.3824","500 MByte","524409505.3533","1.17 Mbit/s","145679.4237","688 MByte","721468946.0495","1.60 Mbit/s","200421.9588","0 %","0.0000","100 %","0000009999"
"10/3/2025 2:00:00 AM - 3:00:00 AM","45932.8333333333","1,095 MByte","1148072916.6912","2.55 Mbit/s","318931.2915","484 MByte","507197650.4222","1.13 Mbit/s","140898.0208","611 MByte","640875266.2690","1.42 Mbit/s","178033.2707","0 %","0.0000","100 %","0000009999"
"10/3/2025 3:00:00 AM - 4:00:00 AM","45932.8750000000","1,160 MByte","1216460599.0850","2.70 Mbit/s","337925.4343","486 MByte","509792293.1970","1.13 Mbit/s","141617.2313","674 MByte","706668305.8880","1.57 Mbit/s","196308.2029","0 %","0.0000","100 %","0000009999"
"10/3/2025 4:00:00 AM - 5:00:00 AM","45932.9166666667","941 MByte","987089734.9541","2.19 Mbit/s","274212.9207","466 MByte","489025446.8125","1.09 Mbit/s","135850.9681","475 MByte","498064288.1416","1.11 Mbit/s","138361.9526","0 %","0.0000","100 %","0000009999"
"10/3/2025 5:00:00 AM - 6:00:00 AM","45932.9583333333","1,139 MByte","1194210928.4399","2.65 Mbit/s","331750.1392","470 MByte","492631373.6780","1.09 Mbit/s","136852.3122","669 MByte","701579554.7619","1.56 Mbit/s","194897.8270","0 %","0.0000","100 %","0000009999"
"10/3/2025 6:00:00 AM - 7:00:00 AM","45933.0000000000","1,963 MByte","2057968381.2588","4.57 Mbit/s","571695.9967","586 MByte","614816122.2175","1.37 Mbit/s","170793.6424","1,376 MByte","1443152259.0413","3.21 Mbit/s","400902.3543","0 %","0.0000","100 %","0000009999"
"10/3/2025 7:00:00 AM - 8:00:00 AM","45933.0416666667","28,454 MByte","29836239923.4406","66 Mbit/s","8288535.1344","2,302 MByte","2413827543.9705","5.36 Mbit/s","670563.5314","26,152 MByte","27422412379.4701","61 Mbit/s","7617971.6030","0 %","0.0000","100 %","0000009999"
