"Date Time","Date Time(RAW)","Download IXP (volume)","Download IXP (volume)(RAW)","Download IXP (speed)","Download IXP (speed)(RAW)","Upload IXP (volume)","Upload IXP (volume)(RAW)","Upload IXP (speed)","Upload IXP (speed)(RAW)","Download NIX (volume)","Download NIX (volume)(RAW)","Download NIX (speed)","Download NIX (speed)(RAW)","Upload NIX (volume)","Upload NIX (volume)(RAW)","Upload NIX (speed)","Upload NIX (speed)(RAW)","Total (volume)","Total (volume)(RAW)","Total (speed)","Total (speed)(RAW)","Coverage","Coverage(RAW)"
"1/1/2025 10:00:00 AM - 11:00:00 AM","45658.1666666667","408 Mbit","408.2703","0.29 Mbit/s","0.2925","460 Mbit","460.3976","0.33 Mbit/s","0.3296","461 Mbit","460.8732","0.33 Mbit/s","0.3297","11 Mbit","11.0613","","0.0079","1,341 Mbit","1340.6024","0.96 Mbit/s","0.9584","39 %","0000003886"
"1/1/2025 11:00:00 AM - 12:00:00 PM","45658.2083333333","1,727 Mbit","1726.9991","0.48 Mbit/s","0.4798","1,364 Mbit","1363.9263","0.38 Mbit/s","0.3789","1,365 Mbit","1364.6030","0.38 Mbit/s","0.3791","29 Mbit","28.6359","","0.0080","4,484 Mbit","4484.1643","1.25 Mbit/s","1.2457","100 %","0000009999"
"1/1/2025 12:00:00 PM - 1:00:00 PM","45658.2500000000","1,097 Mbit","1096.5313","0.30 Mbit/s","0.3046","1,339 Mbit","1338.8001","0.37 Mbit/s","0.3719","1,338 Mbit","1338.2759","0.37 Mbit/s","0.3718","29 Mbit","28.5623","","0.0079","3,802 Mbit","3802.1696","1.06 Mbit/s","1.0562","100 %","0000009999"
"1/1/2025 1:00:00 PM - 2:00:00 PM","45658.2916666667","1,199 Mbit","1199.4371","0.33 Mbit/s","0.3332","1,352 Mbit","1352.1492","0.38 Mbit/s","0.3756","1,352 Mbit","1352.0276","0.38 Mbit/s","0.3756","28 Mbit","28.4429","","0.0079","3,932 Mbit","3932.0567","1.09 Mbit/s","1.0923","100 %","0000009999"
"1/1/2025 2:00:00 PM - 3:00:00 PM","45658.3333333333","1,939 Mbit","1938.5344","0.54 Mbit/s","0.5385","1,352 Mbit","1352.2559","0.38 Mbit/s","0.3757","1,352 Mbit","1352.2936","0.38 Mbit/s","0.3757","29 Mbit","28.5385","","0.0079","4,672 Mbit","4671.6224","1.30 Mbit/s","1.2978","100 %","0000009999"
"1/1/2025 3:00:00 PM - 4:00:00 PM","45658.3750000000","1,079 Mbit","1078.6957","0.30 Mbit/s","0.2997","1,344 Mbit","1344.0058","0.37 Mbit/s","0.3734","1,344 Mbit","1344.1688","0.37 Mbit/s","0.3734","29 Mbit","28.6494","","0.0080","3,796 Mbit","3795.5196","1.05 Mbit/s","1.0544","100 %","0000009999"
"1/1/2025 4:00:00 PM - 5:00:00 PM","45658.4166666667","1,172 Mbit","1171.6377","0.33 Mbit/s","0.3255","1,357 Mbit","1356.8909","0.38 Mbit/s","0.3769","1,357 Mbit","1356.7351","0.38 Mbit/s","0.3769","29 Mbit","28.7422","","0.0080","3,914 Mbit","3914.0059","1.09 Mbit/s","1.0873","100 %","0000009999"
"1/1/2025 5:00:00 PM - 6:00:00 PM","45658.4583333333","3,319 Mbit","3318.9107","0.92 Mbit/s","0.9220","1,467 Mbit","1467.1768","0.41 Mbit/s","0.4076","1,467 Mbit","1467.3518","0.41 Mbit/s","0.4076","29 Mbit","28.6837","","0.0080","6,282 Mbit","6282.1230","1.75 Mbit/s","1.7452","100 %","0000009999"
"1/1/2025 6:00:00 PM - 7:00:00 PM","45658.5000000000","3,275 Mbit","3275.0413","0.91 Mbit/s","0.9098","1,556 Mbit","1556.2665","0.43 Mbit/s","0.4323","1,556 Mbit","1556.1859","0.43 Mbit/s","0.4323","29 Mbit","29.0941","","0.0081","6,417 Mbit","6416.5878","1.78 Mbit/s","1.7825","100 %","0000009999"
"1/1/2025 7:00:00 PM - 8:00:00 PM","45658.5416666667","2,502 Mbit","2502.1162","0.70 Mbit/s","0.6951","1,579 Mbit","1578.7466","0.44 Mbit/s","0.4386","1,581 Mbit","1580.5069","0.44 Mbit/s","0.4391","29 Mbit","28.5944","","0.0079","5,690 Mbit","5689.9641","1.58 Mbit/s","1.5807","100 %","0000009999"
