"Date Time","Date Time(RAW)","Traffic Total (volume)","Traffic Total (volume)(RAW)","Traffic Total (speed)","Traffic Total (speed)(RAW)","Traffic In (volume)","Traffic In (volume)(RAW)","Traffic In (speed)","Traffic In (speed)(RAW)","Traffic Out (volume)","Traffic Out (volume)(RAW)","Traffic Out (speed)","Traffic Out (speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"7/1/2025 10:00:00 AM - 11:00:00 AM","45839.1666666667","334,561 MByte","350813048903.3773","1,517 Mbit/s","189644051.6276","79,244 MByte","83092896085.7220","359 Mbit/s","44918721.0237","255,318 MByte","267720152817.6553","1,158 Mbit/s","144725330.6039","0 %","0.0000","51 %","0000005138"
"7/1/2025 11:00:00 AM - 12:00:00 PM","45839.2083333333","592,800 MByte","621596223656.5650","1,381 Mbit/s","172678568.5750","167,231 MByte","175354637556.5708","390 Mbit/s","48713275.0391","425,569 MByte","446241586099.9942","992 Mbit/s","123965293.5359","0 %","0.0000","100 %","0000009999"
"7/1/2025 12:00:00 PM - 1:00:00 PM","45839.2500000000","499,721 MByte","523995495569.5587","1,165 Mbit/s","145565626.0958","86,268 MByte","90458508655.3093","201 Mbit/s","25129318.0179","413,453 MByte","433536986914.2494","963 Mbit/s","120436308.0779","0 %","0.0000","100 %","0000009999"
"7/1/2025 1:00:00 PM - 2:00:00 PM","45839.2916666667","542,509 MByte","568861656846.8735","1,264 Mbit/s","158029418.0789","117,001 MByte","122684535306.9137","273 Mbit/s","34081688.3832","425,508 MByte","446177121539.9598","992 Mbit/s","123947729.6956","0 %","0.0000","100 %","0000009999"
"7/1/2025 2:00:00 PM - 3:00:00 PM","45839.3333333333","522,611 MByte","547997695630.1329","1,218 Mbit/s","152235114.1296","119,939 MByte","125765502480.2178","280 Mbit/s","34937967.3972","402,672 MByte","422232193149.9151","938 Mbit/s","117297146.7325","0 %","0.0000","100 %","0000009999"
"7/1/2025 3:00:00 PM - 4:00:00 PM","45839.3750000000","471,763 MByte","494679419484.7363","1,099 Mbit/s","137421256.4511","116,753 MByte","122424006445.7752","272 Mbit/s","34009219.1486","355,010 MByte","372255413038.9612","827 Mbit/s","103412037.3025","0 %","0.0000","100 %","0000009999"
"7/1/2025 4:00:00 PM - 5:00:00 PM","45839.4166666667","375,383 MByte","393617504522.9193","875 Mbit/s","109345485.3998","84,084 MByte","88168783174.6857","196 Mbit/s","24492961.5237","291,299 MByte","305448721348.2336","679 Mbit/s","84852523.8761","0 %","0.0000","100 %","0000009999"
"7/1/2025 5:00:00 PM - 6:00:00 PM","45839.4583333333","231,267 MByte","242501284808.5718","539 Mbit/s","67366894.7800","59,733 MByte","62634332023.3745","139 Mbit/s","17399827.2148","171,534 MByte","179866952785.1973","400 Mbit/s","49967067.5652","0 %","0.0000","100 %","0000009999"
"7/1/2025 6:00:00 PM - 7:00:00 PM","45839.5000000000","88,170 MByte","92453351777.1840","205 Mbit/s","25683484.2091","31,510 MByte","33040362026.5050","73 Mbit/s","9178592.2312","56,661 MByte","59412989750.6790","132 Mbit/s","16504891.9779","0 %","0.0000","100 %","0000009999"
"7/1/2025 7:00:00 PM - 8:00:00 PM","45839.5416666667","10,570 MByte","11082944154.8115","25 Mbit/s","3078809.4048","5,088 MByte","5334771616.6285","12 Mbit/s","1481983.9202","5,482 MByte","5748172538.1830","13 Mbit/s","1596825.4846","0 %","0.0000","100 %","0000009999"
"7/1/2025 8:00:00 PM - 9:00:00 PM","45839.5833333333","1,071 MByte","1123443449.2147","2.50 Mbit/s","312090.1646","570 MByte","597873410.5146","1.33 Mbit/s","166087.9426","501 MByte","525570038.7001","1.17 Mbit/s","146002.2220","0 %","0.0000","100 %","0000009999"
"7/1/2025 9:00:00 PM - 10:00:00 PM","45839.6250000000","1,120 MByte","1174214004.7233","2.61 Mbit/s","326198.6462","676 MByte","708505134.9721","1.57 Mbit/s","196823.9307","444 MByte","465708869.7512","1.03 Mbit/s","129374.7155","0 %","0.0000","100 %","0000009999"
"7/1/2025 10:00:00 PM - 11:00:00 PM","45839.6666666667","1,032 MByte","1082062967.1719","2.40 Mbit/s","300595.5911","686 MByte","719638853.2775","1.60 Mbit/s","199914.6751","346 MByte","362424113.8945","0.81 Mbit/s","100680.9160","0 %","0.0000","100 %","0000009999"
"7/1/2025 11:00:00 PM - 12:00:00 AM","45839.7083333333","800 MByte","838648917.5866","1.86 Mbit/s","232976.8002","469 MByte","491585109.4622","1.09 Mbit/s","136562.4202","331 MByte","347063808.1245","0.77 Mbit/s","96414.3801","0 %","0.0000","100 %","0000009999"
"7/2/2025 12:00:00 AM - 1:00:00 AM","45839.7500000000","807 MByte","846711407.6158","1.88 Mbit/s","235217.8681","480 MByte","503147492.5766","1.12 Mbit/s","139775.2286","328 MByte","343563915.0392","0.76 Mbit/s","95442.6395","0 %","0.0000","100 %","0000009999"
"7/2/2025 1:00:00 AM - 2:00:00 AM","45839.7916666667","894 MByte","937825145.4677","2.08 Mbit/s","260525.0769","494 MByte","518426307.3481","1.15 Mbit/s","144017.3088","400 MByte","419398838.1197","0.93 Mbit/s","116507.7681","0 %","0.0000","100 %","0000009999"
"7/2/2025 2:00:00 AM - 3:00:00 AM","45839.8333333333","1,337 MByte","1401508147.4779","3.11 Mbit/s","389338.1006","486 MByte","509595571.6587","1.13 Mbit/s","141565.3361","851 MByte","891912575.8192","1.98 Mbit/s","247772.7645","0 %","0.0000","100 %","0000009999"
"7/2/2025 3:00:00 AM - 4:00:00 AM","45839.8750000000","880 MByte","922533139.5300","2.05 Mbit/s","256279.1382","471 MByte","493580695.7785","1.10 Mbit/s","137116.4134","409 MByte","428952443.7515","0.95 Mbit/s","119162.7248","0 %","0.0000","100 %","0000009999"
"7/2/2025 4:00:00 AM - 5:00:00 AM","45839.9166666667","910 MByte","954380164.6864","2.12 Mbit/s","265127.6953","472 MByte","494998613.3374","1.10 Mbit/s","137511.0741","438 MByte","459381551.3490","1.02 Mbit/s","127616.6212","0 %","0.0000","100 %","0000009999"
"7/2/2025 5:00:00 AM - 6:00:00 AM","45839.9583333333","816 MByte","855218636.3161","1.90 Mbit/s","237578.5507","471 MByte","493707229.1390","1.10 Mbit/s","137151.1833","345 MByte","361511407.1771","0.80 Mbit/s","100427.3674","0 %","0.0000","100 %","0000009999"
