"Date Time","Date Time(RAW)","Traffic Total (volume)","Traffic Total (volume)(RAW)","Traffic Total (speed)","Traffic Total (speed)(RAW)","Traffic In (volume)","Traffic In (volume)(RAW)","Traffic In (speed)","Traffic In (speed)(RAW)","Traffic Out (volume)","Traffic Out (volume)(RAW)","Traffic Out (speed)","Traffic Out (speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"9/1/2025 2:00:00 PM - 3:00:00 PM","45901.3333333333","655 MByte","686846799.6237","2.54 Mbit/s","317571.4925","512 MByte","537333154.2513","1.99 Mbit/s","248442.1444","143 MByte","149513645.3725","0.55 Mbit/s","69129.3481","0 %","0.0000","60 %","0000006008"
"9/1/2025 3:00:00 PM - 4:00:00 PM","45901.3750000000","1,096 MByte","1148732723.0720","2.55 Mbit/s","319114.5838","838 MByte","878789794.2834","1.95 Mbit/s","244125.2293","257 MByte","269942928.7885","0.60 Mbit/s","74989.3545","0 %","0.0000","100 %","0000009999"
"9/1/2025 4:00:00 PM - 5:00:00 PM","45901.4166666667","1,077 MByte","1129600636.3838","2.51 Mbit/s","313802.3614","834 MByte","874688868.4095","1.94 Mbit/s","242988.0292","243 MByte","254911767.9743","0.57 Mbit/s","70814.3322","0 %","0.0000","100 %","0000009999"
"9/1/2025 5:00:00 PM - 6:00:00 PM","45901.4583333333","1,096 MByte","1149421404.2506","2.55 Mbit/s","319309.4456","843 MByte","883645763.6690","1.96 Mbit/s","245476.9311","253 MByte","265775640.5816","0.59 Mbit/s","73832.5144","0 %","0.0000","100 %","0000009999"
"9/1/2025 6:00:00 PM - 7:00:00 PM","45901.5000000000","1,254 MByte","1314896613.6319","2.92 Mbit/s","365281.5288","812 MByte","851340389.4630","1.89 Mbit/s","236504.4641","442 MByte","463556224.1689","1.03 Mbit/s","128777.0647","0 %","0.0000","100 %","0000009999"
"9/1/2025 7:00:00 PM - 8:00:00 PM","45901.5416666667","1,024 MByte","1074132522.2647","2.39 Mbit/s","298394.1824","761 MByte","798211280.6001","1.77 Mbit/s","221743.2184","263 MByte","275921241.6646","0.61 Mbit/s","76650.9640","0 %","0.0000","100 %","0000009999"
"9/1/2025 8:00:00 PM - 9:00:00 PM","45901.5833333333","1,447 MByte","1517610624.3285","3.37 Mbit/s","421590.1260","796 MByte","835100614.9428","1.86 Mbit/s","231989.7923","651 MByte","682510009.3857","1.52 Mbit/s","189600.3337","0 %","0.0000","100 %","0000009999"
"9/1/2025 9:00:00 PM - 10:00:00 PM","45901.6250000000","1,271 MByte","1332441463.3171","2.96 Mbit/s","370153.4748","809 MByte","848402352.6354","1.89 Mbit/s","235686.9608","462 MByte","484039110.6817","1.08 Mbit/s","134466.5141","0 %","0.0000","100 %","0000009999"
"9/1/2025 10:00:00 PM - 11:00:00 PM","45901.6666666667","1,128 MByte","1182652511.7312","2.63 Mbit/s","328537.4017","745 MByte","781368776.4398","1.74 Mbit/s","217061.9561","383 MByte","401283735.2913","0.89 Mbit/s","111475.4456","0 %","0.0000","100 %","0000009999"
"9/1/2025 11:00:00 PM - 12:00:00 AM","45901.7083333333","1,039 MByte","1089146171.6093","2.42 Mbit/s","302563.2955","770 MByte","807572827.2500","1.79 Mbit/s","224342.6110","269 MByte","281573344.3593","0.63 Mbit/s","78220.6844","0 %","0.0000","100 %","0000009999"
