"Date Time","Date Time(RAW)","Value (volume)","Value (volume)(RAW)","Value (speed)","Value (speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"9/1/2025 10:00:00 AM - 11:00:00 AM","45901.1666666667","263,004 Kbit","33664565.5241","342 Kbit/s","43746.9176","0 %","0.0000","21 %","0000002138"
"9/1/2025 11:00:00 AM - 12:00:00 PM","45901.2083333333","1,182,726 Kbit","151388951.5062","329 Kbit/s","42055.6407","0 %","0.0000","100 %","0000009999"
"9/1/2025 12:00:00 PM - 1:00:00 PM","45901.2500000000","1,191,777 Kbit","152547489.0449","331 Kbit/s","42377.8340","0 %","0.0000","100 %","0000009999"
"9/1/2025 1:00:00 PM - 2:00:00 PM","45901.2916666667","1,184,733 Kbit","151645792.9487","329 Kbit/s","42127.5760","0 %","0.0000","100 %","0000009999"
"9/1/2025 2:00:00 PM - 3:00:00 PM","45901.3333333333","1,179,557 Kbit","150983233.3376","328 Kbit/s","41943.3988","0 %","0.0000","100 %","0000009999"
"9/1/2025 3:00:00 PM - 4:00:00 PM","45901.3750000000","1,190,213 Kbit","152347236.0118","331 Kbit/s","42322.2035","0 %","0.0000","100 %","0000009999"
"9/1/2025 4:00:00 PM - 5:00:00 PM","45901.4166666667","1,167,781 Kbit","149475950.7162","324 Kbit/s","41524.2117","0 %","0.0000","100 %","0000009999"
"9/1/2025 5:00:00 PM - 6:00:00 PM","45901.4583333333","1,604,349 Kbit","205356630.9598","446 Kbit/s","57048.2626","0 %","0.0000","100 %","0000009999"
"9/1/2025 6:00:00 PM - 7:00:00 PM","45901.5000000000","1,210,557 Kbit","154951291.0195","336 Kbit/s","43045.3733","0 %","0.0000","100 %","0000009999"
"9/1/2025 7:00:00 PM - 8:00:00 PM","45901.5416666667","1,227,688 Kbit","157144044.1058","341 Kbit/s","43654.3974","0 %","0.0000","100 %","0000009999"
"9/1/2025 8:00:00 PM - 9:00:00 PM","45901.5833333333","1,166,689 Kbit","149336140.4834","324 Kbit/s","41485.8336","0 %","0.0000","100 %","0000009999"
"9/1/2025 9:00:00 PM - 10:00:00 PM","45901.6250000000","1,193,726 Kbit","152796918.8709","332 Kbit/s","42446.5363","0 %","0.0000","100 %","0000009999"
"9/1/2025 10:00:00 PM - 11:00:00 PM","45901.6666666667","1,169,846 Kbit","149740281.7484","325 Kbit/s","41597.7581","0 %","0.0000","100 %","0000009999"
"9/1/2025 11:00:00 PM - 12:00:00 AM","45901.7083333333","1,209,324 Kbit","154793506.5445","336 Kbit/s","43001.3019","0 %","0.0000","100 %","0000009999"
"9/2/2025 12:00:00 AM - 1:00:00 AM","45901.7500000000","1,247,337 Kbit","159659197.8512","347 Kbit/s","44353.4733","0 %","0.0000","100 %","0000009999"
"9/2/2025 1:00:00 AM - 2:00:00 AM","45901.7916666667","1,229,063 Kbit","157320104.8339","341 Kbit/s","43703.5497","0 %","0.0000","100 %","0000009999"
"9/2/2025 2:00:00 AM - 3:00:00 AM","45901.8333333333","1,358,537 Kbit","173892773.8470","377 Kbit/s","48307.7081","0 %","0.0000","100 %","0000009999"
"9/2/2025 3:00:00 AM - 4:00:00 AM","45901.8750000000","1,212,195 Kbit","155160898.6657","337 Kbit/s","43103.6021","0 %","0.0000","100 %","0000009999"
"9/2/2025 4:00:00 AM - 5:00:00 AM","45901.9166666667","1,200,120 Kbit","153615362.0736","333 Kbit/s","42675.0829","0 %","0.0000","100 %","0000009999"
"9/2/2025 5:00:00 AM - 6:00:00 AM","45901.9583333333","1,170,560 Kbit","149831724.5685","325 Kbit/s","41623.0452","0 %","0.0000","100 %","0000009999"
"9/2/2025 6:00:00 AM - 7:00:00 AM","45902.0000000000","1,224,086 Kbit","156683014.8083","340 Kbit/s","43526.5660","0 %","0.0000","100 %","0000009999"
"9/2/2025 7:00:00 AM - 8:00:00 AM","45902.0416666667","1,202,699 Kbit","153945425.2627","334 Kbit/s","42766.3008","0 %","0.0000","100 %","0000009999"
